Image Title,Extracted Text
image_1.webp,"Do not go where the path may lead, go instead where there is no path and leave a trail. -Ralph Waldo Emerson Do not go where the path may lead , go instead where there is no path and leave a trail . -Ralph Waldo Emerson"
image_2.jpeg,Perfection is not attainable. But if we chase perfection we can catch excellence. x VINCE LOMBARDI CH GH Perfection is not attainable . But if we chase perfection we can catch excellence . x VINCE LOMBARDI CH GH
image_3.webp,"""I really think a champion is defined not by their wins but by how they can recover when they fall."" SERENA WILLIAMS TODAY "" I really think a champion is defined not by their wins but by how they can recover when they fall . "" SERENA WILLIAMS TODAY"
image_4.webp,"""Believe you can and you're halfway there."" THEODORE ROOSEVELT TODAY "" Believe you can and you're halfway there . "" THEODORE ROOSEVELT TODAY"
image_5.webp,"66 Nature loves courage. You make the commitment and nature will respond to that commitment by removing impossible obstacles. Dream the impossible dream and the world will not grind you under, it will lift you up.""-Terrence McKenna "" 66 Nature loves courage . You make the commitment and nature will respond to that commitment by removing impossible obstacles . Dream the impossible dream and the world will not grind you under , it will lift you up . "" - Terrence McKenna """
image_6.webp,"Feet, why do I need them if I have wings to fly? - FRIDA KAHLO WWW.SPANISHMAMA.COM Feet, why do I need them if I have wings to fly? - FRIDA KAHLO WWW.SPANISHMAMA.COM"
image_7.jpg,"You never know how strong you are, until one day you have no choice but to be strong. There are many things in life that can knock you down, but what really knocks you down is your own heart. facebook.com/tong.yan.gai You will always You don’t know how strong you are, until one day you have no choice but to be strong. There are many things in life that can knock you down, but what really knocks you down is your own heart. facebook.com/tong.yan.gai"
image_8.png,A shallow waterfall that is not covered by water. A shallow waterfall that is not covered by water.
image_9.jpg,"&quot;Small people seek their equals, great people seek themselves.&quot; Yunus Emre &quot;Small people seek their equals, great people seek themselves.&quot; Yunus Emre"
image_10.jpg,66 Isn&#39;t life a hundred times too short to be bored in it? 99 Friedrich Nietzsche germanmadeeasy.org 66 Isn&#39;t life a hundred times too short to be bored in it? 99 Friedrich Nietzsche germanmadeeasy.org
